Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),EE_z
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.740453
1,1.016322,-0.612617,-24.484417,0.483483,-1.453364,0.012068,0.741425
2,0.180468,-1.625360,-19.313042,0.672871,-1.616212,0.016612,0.743824
3,0.556119,-1.730395,-16.630814,0.701753,-1.342994,0.008733,0.747402
4,0.847541,-1.620647,-14.600989,0.672726,-1.083032,0.001801,0.751977
5,0.911119,-1.460723,-12.833680,0.623068,-0.891153,-0.002857,0.757389
6,0.786125,-1.298875,-11.215225,0.567947,-0.758514,-0.005787,0.763490
7,0.531350,-1.150543,-9.696191,0.513475,-0.669159,-0.007546,0.770141
8,0.198390,-1.019477,-8.249840,0.461750,-0.609188,-0.008513,0.777212
9,-0.171716,-0.904862,-6.861577,0.413114,-0.567854,-0.008928,0.784587
10,-0.547046,-0.804293,-5.525116,0.367243,-0.537097,-0.008948,0.792155
11,-0.903787,-0.715226,-4.239946,0.323689,-0.511154,-0.008679,0.799821
12,-1.224786,-0.635445,-3.009470,0.282107,-0.486067,-0.008200,0.807499
13,-1.498113,-0.563220,-1.840037,0.242314,-0.459236,-0.007571,0.815114
14,-1.716644,-0.497400,-0.739171,0.204325,-0.429197,-0.006847,0.822605
15,-1.876722,-0.437165,0.284889,0.168277,-0.395247,-0.006072,0.829921
16,-1.977558,-0.382037,1.224022,0.134416,-0.357242,-0.005289,0.837019
17,-2.020617,-0.331499,2.070850,0.102969,-0.315424,-0.004533,0.843869
18,-2.008988,-0.285106,2.819154,0.074150,-0.270261,-0.003832,0.850449
19,-1.946944,-0.242300,3.464173,0.048092,-0.222343,-0.003209,0.856743
20,-1.839628,-0.202484,4.002931,0.024841,-0.172332,-0.002678,0.862744
21,-1.692807,-0.164973,4.434347,0.004339,-0.120911,-0.002244,0.868449
22,-1.512404,-0.129044,4.758898,-0.013555,-0.068725,-0.001908,0.873859
23,-1.304570,-0.093992,4.978999,-0.029061,-0.016413,-0.001664,0.878980
24,-1.075513,-0.059233,5.098716,-0.042434,0.035415,-0.001501,0.883820
25,-0.831237,-0.024209,5.123437,-0.053971,0.086190,-0.001408,0.888390
26,-0.577595,0.011468,5.059836,-0.063964,0.135371,-0.001369,0.892702
27,-0.320210,0.048029,4.915633,-0.072694,0.182432,-0.001372,0.896768
28,-0.064339,0.085610,4.699316,-0.080423,0.226884,-0.001403,0.900602
29,0.185234,0.124155,4.419739,-0.087368,0.268288,-0.001448,0.904218
30,0.424077,0.163575,4.086292,-0.093726,0.306216,-0.001499,0.907629
31,0.648298,0.203625,3.708535,-0.099646,0.340300,-0.001545,0.910848
32,0.854688,0.243928,3.295805,-0.105226,0.370250,-0.001579,0.913891
33,1.040533,0.284160,2.857276,-0.110547,0.395818,-0.001594,0.916769
34,1.203786,0.323892,2.401846,-0.115650,0.416840,-0.001589,0.919495
35,1.343088,0.362769,1.937755,-0.120568,0.433240,-0.001558,0.922082
36,1.457645,0.400340,1.472889,-0.125293,0.445015,-0.001501,0.924543
37,1.547351,0.436231,1.014282,-0.129811,0.452262,-0.001416,0.926886
38,1.612641,0.470167,0.568259,-0.134115,0.455153,-0.001305,0.929125
39,1.654516,0.501804,0.140509,-0.138169,0.453951,-0.001169,0.931269
40,1.674409,0.530922,-0.264209,-0.141949,0.448980,-0.001009,0.933328
41,1.674216,0.557329,-0.641812,-0.145426,0.440648,-0.000830,0.935311
42,1.656079,0.580929,-0.989006,-0.148585,0.429393,-0.000631,0.937227
43,1.622440,0.601657,-1.303370,-0.151411,0.415704,-0.000420,0.939084
44,1.575872,0.619551,-1.583214,-0.153903,0.400095,-0.000196,0.940888
45,1.519063,0.634591,-1.827284,-0.156047,0.383095,0.000036,0.942647
46,1.454663,0.646907,-2.035325,-0.157853,0.365221,0.000271,0.944365
47,1.385234,0.656639,-2.207502,-0.159337,0.346969,0.000507,0.946049
48,1.313300,0.663950,-2.344362,-0.160513,0.328834,0.000742,0.947702
49,1.241141,0.669013,-2.447158,-0.161400,0.311249,0.000972,0.949329
50,1.170803,0.672018,-2.517222,-0.162019,0.294605,0.001194,0.950931
51,1.104141,0.673187,-2.556664,-0.162397,0.279252,0.001407,0.952512
52,1.042667,0.672718,-2.567245,-0.162556,0.265466,0.001608,0.954072
53,0.987665,0.670826,-2.551598,-0.162523,0.253480,0.001797,0.955615
54,0.940083,0.667694,-2.511960,-0.162317,0.243451,0.001972,0.957139
55,0.900633,0.663509,-2.451042,-0.161963,0.235491,0.002132,0.958645
56,0.869681,0.658431,-2.371460,-0.161474,0.229639,0.002278,0.960132
57,0.847447,0.652627,-2.275634,-0.160871,0.225901,0.002408,0.961601
58,0.833830,0.646185,-2.166291,-0.160158,0.224219,0.002524,0.963049
