Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,-1.173926,-0.333671,3.033507,-0.027289,0.624183,0.000005
2,-9.674814,23.106239,16.893793,-69.175674,1.680184,-0.034667
3,-6.387056,-3.375195,6.008594,0.420539,3.268344,-0.004123
4,-4.987177,-2.908031,3.547703,0.201814,4.416554,-0.108920
5,-4.335814,-3.624037,3.665159,0.117921,5.271390,-0.304863
6,-3.607049,-4.618352,3.729314,-0.000821,6.182776,-0.591292
7,-2.769248,-5.899490,3.730097,-0.194076,7.183024,-0.972248
8,-1.810620,-7.095848,3.649624,-0.548865,8.283258,-1.162828
9,-1.575804,-2.777927,4.621689,-1.804132,8.862095,3.304494
10,-0.812750,-2.997322,4.709557,-2.466862,9.876255,3.913987
11,-0.124236,-3.054636,4.705491,-3.197249,10.722049,4.403962
12,0.406813,-2.030912,4.885784,-4.029204,11.583261,3.770891
13,0.948463,-1.783739,4.650756,-4.776670,12.160913,4.049058
14,1.415039,-1.655081,4.250409,-5.573328,12.502536,4.527108
15,1.797543,-1.462562,3.706167,-6.389391,12.647488,4.978940
16,-3.124649,-1.805729,3.228573,-6.148849,7.649411,4.197431
17,-8.081785,-2.609932,0.340999,-6.006740,2.014091,3.290385
18,-7.963647,-3.102289,-0.110459,-6.367724,1.833114,3.461301
19,-7.866055,-3.424587,-0.463203,-6.556354,1.649029,3.534781
20,-7.724715,-3.718096,-0.803673,-6.728761,1.434959,3.577720
21,-6.944699,-3.992532,-1.150921,-6.860754,0.992445,3.588518
22,-1.513174,-3.133470,-1.704442,-7.019707,-1.148616,3.164360
23,-0.970612,-2.623257,-1.463924,-9.238565,-0.149712,2.681978
24,-1.075411,-2.591751,-1.755296,-8.938799,-0.543050,2.604910
25,-1.102128,-2.530534,-2.038743,-8.831872,-0.855334,2.449961
26,-1.112535,-2.463104,-2.307637,-8.668489,-1.167680,2.290555
27,-1.106997,-2.177843,-2.441409,-8.427210,-1.416618,2.126540
28,-1.099048,-2.107792,-2.597314,-8.165027,-1.582127,1.897173
29,-1.087635,-2.034749,-2.769560,-7.903605,-1.809418,1.723089
30,-1.057406,-1.959126,-2.934180,-7.590507,-2.046390,1.548834
31,-1.014437,-1.885683,-3.072597,-7.246260,-2.267638,1.372719
32,-0.961138,-1.816459,-3.182802,-6.869663,-2.471806,1.196983
33,-0.970078,-1.716081,-3.331316,-6.436797,-2.692151,1.022127
34,-1.121180,-1.777473,-3.422645,-6.157965,-2.860214,0.903844
35,-1.240001,-1.865099,-3.454284,-5.778529,-3.040618,0.787761
36,-1.177701,-1.856526,-3.462899,-5.323009,-3.154078,0.650198
37,-1.119580,-1.862062,-3.453333,-4.866488,-3.249407,0.516368
38,-1.059807,-1.880122,-3.423151,-4.404217,-3.321591,0.393271
39,-0.999498,-1.911225,-3.374457,-3.939295,-3.372224,0.280945
40,-0.939376,-1.955351,-3.308755,-3.473601,-3.402706,0.179877
41,-0.880021,-2.012312,-3.227993,-3.009542,-3.414502,0.090230
42,-0.822016,-2.081936,-3.134047,-2.549185,-3.409224,0.011977
43,-0.766068,-2.163846,-3.028623,-2.094176,-3.388671,-0.054976
44,-0.712442,-2.257497,-2.913595,-1.646187,-3.354515,-0.110897
45,-0.661528,-2.362198,-2.790605,-1.206579,-3.308585,-0.156406
46,-0.617003,-2.478595,-2.662116,-0.772220,-3.258149,-0.184081
47,-0.595550,-2.613594,-2.534397,-0.319270,-3.235164,-0.153565
48,-0.549094,-2.751463,-2.385370,0.112995,-3.162138,-0.169543
49,-0.508727,-2.897381,-2.240359,0.545273,-3.096251,-0.164726
50,-0.381123,-2.820637,-2.204662,0.815927,-3.004986,-0.156551
51,-0.306159,-2.962182,-2.154264,1.128947,-2.856304,-0.139778
52,-0.384200,-3.165493,-2.154433,1.425708,-2.764703,-0.163916
53,-0.489531,-3.604723,-1.957948,1.943145,-3.013933,-0.629430
54,0.193133,-5.182377,-2.257240,4.508804,-1.321219,-1.131497
55,1.140461,-6.637364,-2.325939,6.810130,0.618441,-1.639576
56,1.744242,-7.975419,-2.420492,8.961646,2.354578,-2.524991
57,2.495753,-9.053602,-2.293539,10.664211,4.078557,-3.412123
58,3.328018,-9.880059,-2.010287,11.927057,5.752308,-4.246876
59,4.461709,-10.436771,-1.455096,12.768153,7.320158,-5.037414
60,5.468666,-10.780481,-0.918428,13.227737,8.764042,-5.676952
61,6.288898,-10.936133,-0.456939,13.344785,10.048127,-6.144614
62,7.004551,-10.923541,-0.029017,13.159760,11.134994,-6.456959
63,7.602361,-10.767903,0.346868,12.715773,12.002668,-6.619310
64,84.897789,53.792534,65.663162,33.954048,-2.749662,-6.372896
65,16.385201,-23.730837,14.139597,10.642670,13.481700,-28.566521
66,15.211457,-13.272092,-6.221391,3.771018,14.614604,-6.193459
67,3.584095,-9.126700,-4.024370,-4.348438,-0.172153,-5.054513
68,3.381414,-8.768410,-3.471112,-4.311836,-0.039221,-4.635877
69,0.406503,-8.236570,0.970329,-1.327046,0.340345,-1.986419
70,-0.508881,-6.878832,2.076591,-0.705491,0.554267,-1.121885
71,-0.392878,-0.848935,0.015162,-1.477349,0.421245,-1.438840
72,-0.319896,-0.673155,-0.053766,-1.688207,0.489876,-1.270597
73,-0.303053,-0.598330,-0.142351,-1.857518,0.537101,-1.151202
74,-0.302520,-0.539095,-0.246124,-1.988118,0.562394,-1.081824
75,-0.290567,-0.478009,-0.345463,-2.075639,0.570971,-1.061309
76,-0.314761,-0.459711,-0.471375,-2.119282,0.557281,-1.076926
77,-0.349831,-0.467801,-0.607048,-2.118562,0.527288,-1.125627
78,-0.382945,-0.498509,-0.735908,-2.072597,0.484948,-1.201101
